Year	Day	HourMin	Wind Spd	Wind Dir	Air_1	Air_2	Air P	Rad	Snow D_m	Wind Speed Max	Wind Dir Max	Dew	RH
2004	98	1400	6.28	117.8	10.47	10.2	1180	663.6	6999	17.61	189.2	0.485	51.89
2004	98	1500	7.3	147.4	10.08	9.97	1179	397.4	6999	20.08	175.9	0.175	50.42
2004	98	1600	7	99.9	11.24	10.71	1179	349.2	6999	16.55	54.81	-0.21	50.28
2004	98	1700	7.31	155.2	10.64	10.44	1179	302.9	6999	17.32	118.7	-0.808	44.38
2004	98	1800	6.811	150.1	8.61	8.41	1179	131.8	6999	14.64	186.9	1.826	60.49
2004	98	1900	4.916	87.7	6.578	6.356	1179	8.39	6999	9.21	65.4	-0.091	62.65
2004	98	2000	3.98	119.7	5.526	5.219	1180	0.755	6999	9.56	114.1	-0.1	69.17
2004	98	2100	4.622	115.6	4.283	4.046	1180	0.721	6999	8.93	112.2	0.348	77.1
2004	98	2200	4.901	117.7	3.816	3.622	1180	1.01	6999	9.56	166.6	0.859	83
2004	98	2300	4.19	71.8	2.639	2.443	1181	1.013	6999	7.59	83.8	0.481	86.3
2004	99	0	3.779	94.3	2.433	2.253	1180	1	6999	7.16	94.2	1.104	91.8
2004	99	100	2.762	104.9	1.865	1.631	1180	0.789	6999	6.881	83.6	0.729	92.9
2004	99	200	4.472	106	0.63	0.452	1180	0.531	6999	7.59	87.6	-0.44	93.6
2004	99	300	2.738	59.92	0.256	0.098	1180	0.507	6999	6.599	46.35	-0.596	94.9
2004	99	400	4.798	63.14	-0.137	-0.262	1179	0.508	6999	7.66	50.59	-0.964	95.8
2004	99	500	4.895	51.15	-0.864	-1.016	1179	0.576	6999	7.73	58.38	-1.542	96
2004	99	600	4.629	56.85	-0.951	-1.081	1180	0.743	6999	7.66	61.68	-1.584	96.2
2004	99	700	4.155	53.15	-1.421	-1.507	1180	0.944	6999	7.52	46.35	-1.912	97.4
2004	99	800	5.182	48.59	-1.097	-1.179	1180	14.1	6999	8.5	56.96	-2.017	95.4
2004	99	900	5.946	51.76	1.351	0.524	1180	111.9	6999	9.91	47.17	-0.251	96
2004	99	1000	4.054	79.5	5.275	5.373	1179	393.7	6999	10.9	155	1.891	78.3
2004	99	1100	6.609	135.6	7.57	7.2	1179	303.7	6999	14.15	150.5	2.586	71.5
2004	99	1200	7.6	131.1	9.19	8.64	1178	381.9	6999	17.46	79.2	2.362	64.97
2004	99	1300	8.58	133.1	10.42	9.81	1177	286.5	6999	18.95	159.4	2.601	60.16
2004	99	1400	9.46	127.1	10.12	9.88	1176	601.9	6999	19.3	84.9	2.757	59.73
2004	99	1500	8.87	95.4	8.48	8.21	1176	323.9	6999	21.63	102.1	4.317	69.35
2004	99	1600	9.3	133	9.19	8.93	1176	202	6999	19.44	104.1	3.841	70.3
2004	99	1700	11.53	147.7	8.97	8.76	1176	274.6	6999	27.55	161	2.94	68.5
2004	99	1800	9.94	148.9	6.706	6.471	1176	126.5	6999	26.28	168.2	1.988	73
2004	99	1900	5.818	137.4	5.639	5.292	1177	5.25	6999	15.28	130	2.554	81.4
2004	99	2000	5.448	149.2	4.959	4.572	1177	0.991	6999	13.87	150.1	2.276	85.2
2004	99	2100	4.479	153.8	4.01	3.786	1177	0.918	6999	9.84	176.6	2.071	87.4
2004	99	2200	4.117	95.3	3.286	3.07	1177	0.787	6999	11.96	110.6	1.474	89.3
2004	99	2300	5.721	79	4.397	4.153	1177	0.663	6999	11.68	99	2.154	86.9
2004	100	0	5.855	107.5	4.743	4.415	1177	0.585	6999	14.22	152.5	2.414	86.7
2004	100	100	3.765	119	3.196	3.072	1177	0.529	6999	9.42	123.2	1.696	90.9
2004	100	200	2.427	110.8	2.055	1.893	1177	0.506	6999	7.59	85.5	1.055	94.9
