a	Year	Day	HourMinute	Air	Air Pess	Snow Depth	Precip
114	2004	50	1400	7.48	900	6999	0
114	2004	50	1500	8.57	987	6999	8.01
114	2004	50	1600	7.64	986	6999	5.495
114	2004	50	1700	6.671	985	6999	2.939
114	2004	50	1800	5.834	984	6999	5.169
114	2004	50	1900	5.617	984	6999	2.474
114	2004	50	2000	4.816	984	6999	3.681
114	2004	50	2100	4.415	984	6999	1.36
114	2004	50	2200	4.8	986	6999	0.674
114	2004	50	2300	4.485	986	6999	0.266
114	2004	51	0	3.193	986	6999	0.245
114	2004	51	100	2.599	987	6999	0.49
114	2004	51	200	2.651	987	6999	0.141
114	2004	51	300	3.611	987	6999	0.078
114	2004	51	400	3.589	988	6999	0
114	2004	51	500	4.294	988	6999	0.063
114	2004	51	600	2.266	988	6999	0.034
114	2004	51	700	2.583	989	6999	0.345
114	2004	51	800	2.992	989	6999	0.289
114	2004	51	900	3.404	990	6999	0.144
114	2004	51	1000	5.123	990	6999	0.228
114	2004	51	1100	7.17	991	6999	0.824
114	2004	51	1200	3.594	991	6999	0
114	2004	51	1300	4.383	992	6999	0.924
114	2004	51	1400	4.245	992	6999	0.266
114	2004	51	1500	6.009	992	6999	0.632
114	2004	51	1600	5.482	992	6999	0.371
114	2004	51	1700	5.151	992	6999	0.782
114	2004	51	1800	5.007	992	6999	1.31
114	2004	51	1900	4.305	992	6999	0.507
114	2004	51	2000	3.848	992	6999	0.141
114	2004	51	2100	4.906	992	6999	0
114	2004	51	2200	4.259	992	6999	0.98
114	2004	51	2300	4.89	992	6999	0.446
114	2004	52	0	4.247	992	6999	0.078
114	2004	52	100	4.964	991	6999	0.548
114	2004	52	200	4.354	991	6999	1.394
114	2004	52	300	4.28	989	6999	2.992
114	2004	52	400	4.833	988	6999	2.475
114	2004	52	500	4.171	986	6999	3.79
114	2004	52	600	3.488	984	6999	4.73
114	2004	52	700	4.017	981	6999	5.106
114	2004	52	800	6.322	978	6999	8.44
114	2004	52	900	11.08	976	6999	13.08
114	2004	52	1000	11.27	975	6999	10.17
114	2004	52	1100	10.46	977	6999	8.42
114	2004	52	1200	8.75	978	6999	1.983
114	2004	52	1300	9.49	977	6999	4.059
114	2004	52	1400	8.83	976	6999	4.607
114	2004	52	1500	8.86	977	6999	7.59
114	2004	52	1600	8.57	977	6999	3.773
114	2004	52	1700	8.41	978	6999	5.496
114	2004	52	1800	8.3	979	6999	5.386
114	2004	52	1900	8.42	981	6999	0
114	2004	52	2000	7.66	982	6999	2.196
