	Year	Day	Hour/min	Wind Spd	Wind Dir	Air	Rad	Snow Depth	Wind Max	Rain	WS_60Av	WD_60Av	Air 2	Air 60Av
112	2004	29	1800	10.52	326.4	12.79	139.2	0.278	31.64	0.438	11.22	335.5	9.82	9.52
112	2004	29	1900	11.84	314.3	12.8	105.6	0.279	33.87	0.688	12.35	332	9.7	9.37
112	2004	29	2000	15.62	312.3	12.43	42.43	0.282	38.69	1.281	19.87	307.2	9.33	8.91
112	2004	29	2100	14.66	312.9	12.33	16.64	0.276	37.93	0.531	13.57	310.3	9.23	8.8
112	2004	29	2200	8.66	304.6	12.14	0.717	0.28	28.7	0.281	6.795	302.6	9.14	8.73
112	2004	29	2300	6.535	326.4	11.92	0.026	0.28	22.82	0.188	6.209	330.8	9.23	8.82
112	2004	30	0	15.84	318.2	11.63	0.019	0.28	40.57	0.938	16.34	308.1	9.53	9.18
112	2004	30	100	14.5	313.8	11.47	0.01	0.281	36.81	1.844	17.32	307.3	9.23	8.89
112	2004	30	200	13.15	304.4	11.5	0.007	0.283	33.58	2.969	11.53	313.6	9.35	9.08
112	2004	30	300	13.59	321.4	11.36	0.007	0.273	36.05	1.844	14.69	304.9	9.47	9.14
112	2004	30	400	14.82	314.9	11.31	0.006	0.277	37.57	1.406	15.13	313.7	9.25	9.06
112	2004	30	500	14.77	309.2	11.18	0.007	0.279	36.87	1.625	18.82	296.9	9.52	9.37
112	2004	30	600	12.05	304.8	11.28	0.005	0.277	31.99	0.469	9.73	313.2	9.2	8.84
112	2004	30	700	13	320.1	11.15	0.841	0.278	36.93	1.219	15.01	319.7	9.3	8.93
112	2004	30	800	16.25	308.3	11.21	19.05	0.276	36.75	0.625	15.02	316.2	9.19	8.92
112	2004	30	900	8.84	322	11.29	54.51	0.281	30.75	1.094	7.93	320.1	9.13	8.73
112	2004	30	1000	10.92	321.9	11.39	127.6	0.282	31.46	0.969	14.4	313.8	9.46	9.14
